Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
19.000,23.000,200.000,7.000,200.000,104.000,96.000,0.080,8.700,11.300,10.526,142.500,8.292,10.792,13.000,1.000,10.000,5.000,3.000,0.000,0.130,3.000,0.000,1.000,1.000,0.000,21.300,,,,,,,,,,,,,,,,,,,,,
14.000,20.000,130.000,8.000,141.000,66.000,64.000,0.091,6.500,6.250,9.286,100.000,6.190,5.952,18.000,1.000,2.000,0.300,16.000,0.000,0.100,2.000,1.000,1.000,0.000,1.000,12.000,,,,,,,,,,,,,,,,,,,,,
18.000,28.000,214.000,10.000,216.000,105.000,109.000,0.156,7.600,6.750,11.889,84.500,6.867,6.033,14.000,1.000,14.000,4.700,0.000,0.000,0.036,1.000,1.000,2.000,8.000,0.000,12.960,,,,,,,,,,,,,,,,,,,,,
9.000,12.000,82.000,5.000,93.000,56.000,26.000,0.231,6.800,8.500,9.111,120.800,5.385,6.923,0.000,0.000,0.000,0.000,0.000,0.000,0.083,1.000,0.000,1.000,12.000,0.000,7.280,,,,,,,,,,,,,,,,,,,,,
22.000,31.000,232.000,14.000,172.000,87.000,145.000,0.125,7.500,7.320,10.545,100.500,7.484,7.323,10.000,1.000,10.000,10.000,0.000,0.000,0.065,2.000,1.000,0.000,0.000,0.000,17.280,,,,,,,,,,,,,,,,,,,,,
20.000,29.000,304.000,12.000,208.000,122.000,182.000,0.057,10.500,11.860,15.200,126.200,9.867,11.200,34.000,3.000,28.000,5.600,6.000,0.000,0.069,2.000,0.000,1.000,8.000,0.000,23.560,,,,,,,,,,,,,,,,,,,,,
19.000,30.000,225.000,11.000,182.000,122.000,103.000,0.100,7.500,8.170,11.842,97.200,7.500,8.167,-5.000,0.000,-5.000,-1.300,0.000,0.000,0.033,1.000,0.000,0.000,0.000,0.000,12.500,,,,,,,,,,,,,,,,,,,,,
18.000,23.000,205.000,12.000,241.000,155.000,50.000,0.115,8.900,10.650,11.389,132.800,8.375,10.042,34.000,3.000,29.000,2.600,5.000,0.000,0.087,2.000,0.000,1.000,4.000,0.000,19.600,,,,,,,,,,,,,,,,,,,,,
28.000,37.000,284.000,15.000,396.000,178.000,106.000,0.125,7.700,9.300,10.143,124.200,6.846,8.385,4.000,2.000,4.000,0.800,0.000,1.000,0.081,3.000,0.000,2.000,17.000,0.000,29.760,,,,,,,,,,,,,,,,,,,,,
18.000,31.000,236.000,12.000,199.000,77.000,159.000,0.188,7.600,8.260,13.111,92.900,7.188,7.813,0.000,0.000,0.000,0.000,0.000,0.000,0.032,1.000,0.000,1.000,6.000,0.000,13.440,,,,,,,,,,,,,,,,,,,,,
22.000,37.000,190.000,12.000,272.000,155.000,35.000,0.175,5.100,2.700,8.636,50.500,4.487,2.179,26.000,4.000,22.000,3.100,4.000,1.000,0.000,0.000,2.000,2.000,15.000,0.000,14.200,,,,,,,,,,,,,,,,,,,,,
27.000,37.000,269.000,15.000,230.000,137.000,132.000,0.191,7.300,8.890,9.963,120.200,5.381,6.810,60.000,3.000,57.000,11.400,3.000,0.000,0.081,3.000,0.000,5.000,43.000,1.000,26.760,,,,,,,,,,,,,,,,,,,,,
21.000,33.000,235.000,14.000,236.000,105.000,130.000,0.237,7.100,5.000,11.190,69.600,5.514,3.622,8.000,1.000,-2.000,-0.700,10.000,0.000,0.030,1.000,2.000,4.000,31.000,2.000,8.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,