First Name,Last Name,Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles
Aaron,Rodgers,21.667,34.333,173.333,9.667,214.667,64.333,109.000,0.201,5.100,5.550,8.000,86.733,4.330,4.652,4.333,0.333,4.333,5.000,0.000,0.000,0.039,1.333,0.333,2.000,16.000,0.667
Aidan,O'Connell,18.667,28.330,206.333,9.000,199.000,97.000,109.333,0.203,6.867,7.037,11.053,90.000,6.608,6.777,2.000,1.000,1.000,0.250,1.000,0.000,0.035,1.000,0.333,1.333,10.333,0.333
Andy,Dalton,18.333,27.333,150.000,7.667,184.333,96.333,53.667,0.222,5.500,2.647,8.182,61.300,4.897,2.770,9.000,0.333,2.667,1.733,6.333,0.000,0.024,0.667,1.667,1.667,8.000,0.667
Anthony,Richardson,14.333,27.333,184.333,8.333,358.667,113.333,71.000,0.214,6.567,6.110,12.861,74.200,6.214,5.857,46.000,3.333,28.000,3.567,18.000,1.000,0.037,1.000,0.667,0.667,10.333,1.000
Baker,Mayfield,21.000,30.667,215.000,11.333,200.667,97.000,118.000,0.162,6.967,6.497,10.238,86.367,6.153,5.643,13.333,1.000,9.000,2.950,4.000,0.333,0.022,0.667,0.667,2.000,14.000,2.333
Bo,Nix,23.667,36.667,291.333,12.667,279.667,134.000,157.333,0.184,8.067,8.527,12.310,101.767,7.598,8.044,4.667,0.000,4.667,2.933,0.000,0.000,0.064,2.333,0.667,0.667,7.667,0.000
Brock,Purdy,19.000,27.333,202.000,10.333,165.667,106.000,96.000,0.167,6.900,6.977,10.632,93.133,6.405,6.574,20.333,1.333,18.000,4.200,2.333,0.333,0.037,1.000,0.333,2.333,12.000,0.667
Bryce,Young,20.667,35.333,229.000,11.000,296.333,143.000,86.000,0.287,6.333,6.947,11.080,87.567,5.964,6.509,22.333,1.000,19.000,7.933,3.333,0.333,0.028,1.000,0.000,1.333,10.333,0.333
C.J.,Stroud,21.667,33.667,248.667,11.333,244.000,129.333,119.333,0.180,7.400,6.640,11.477,83.967,6.370,5.676,16.333,0.333,16.000,6.467,0.333,0.000,0.030,1.000,1.000,2.333,19.333,0.000
Caleb,Williams,25.000,39.000,275.667,12.333,355.000,141.000,134.667,0.175,7.100,7.880,11.027,98.633,5.898,6.680,47.333,3.000,44.000,7.133,3.333,0.000,0.043,1.667,0.000,3.667,24.000,0.000
Cooper,Rush,25.667,41.000,265.333,13.000,270.000,120.000,145.333,0.123,6.500,6.973,10.338,92.000,5.860,6.132,2.000,0.333,0.000,0.133,2.000,0.000,0.033,1.333,0.333,2.000,13.333,1.333
Dak,Prescott,20.000,31.667,184.667,8.333,239.667,97.000,87.667,0.342,5.767,4.710,9.233,74.333,4.942,3.789,10.000,0.667,9.000,3.000,1.000,0.000,0.032,1.000,1.333,3.000,13.333,0.000
Daniel,Jones,22.000,33.667,209.333,10.667,266.333,148.667,60.667,0.221,6.233,5.563,9.515,80.967,5.266,4.395,27.000,3.667,18.000,2.500,9.000,0.667,0.020,0.667,1.000,2.667,18.000,0.667
Derek,Carr,20.333,29.667,233.667,9.667,202.000,101.333,132.333,0.262,8.333,9.513,11.492,114.133,7.711,8.822,12.333,0.667,10.000,6.000,0.667,0.000,0.056,1.667,0.000,0.333,2.333,0.667
Desmond,Ridder,8.000,13.000,69.000,3.500,75.500,42.000,27.000,0.369,5.500,6.140,8.625,84.950,2.750,3.375,2.667,0.000,2.667,2.167,0.000,0.000,0.038,0.500,0.000,3.000,25.000,1.000
Dorian,Thomas-Robinson,11.000,24.000,82.000,3.000,130.000,36.000,46.000,0.400,3.400,-0.330,7.455,19.800,3.160,-0.440,44.000,2.000,36.000,12.000,8.000,0.000,0.000,0.000,2.000,1.000,3.000,1.000
Drake,Maye,25.000,35.333,247.333,12.667,249.333,124.000,123.333,0.146,7.033,6.507,9.893,91.000,5.658,5.188,37.333,1.000,27.333,6.667,10.000,0.000,0.038,1.333,1.000,3.667,26.667,0.667
Gardner,Minshew,21.667,34.000,212.000,11.333,192.000,96.667,115.333,0.295,6.467,6.203,9.784,82.467,5.532,5.257,4.000,0.333,4.000,2.000,0.000,0.000,0.029,1.000,0.667,2.333,11.000,0.667
Geno,Smith,22.333,31.333,227.000,9.667,198.333,122.667,104.333,0.218,7.233,6.727,10.164,89.800,5.566,5.094,1.333,0.000,1.333,0.567,0.000,0.333,0.021,0.667,0.667,4.000,30.333,0.667
Jacoby,Brissett,17.333,30.000,153.333,7.333,206.000,71.333,82.000,0.265,5.167,4.893,8.846,71.233,4.162,3.909,8.000,0.667,6.000,4.333,2.000,0.000,0.011,0.333,0.333,3.000,16.000,1.333
Jake,Haener,4.667,9.333,59.000,2.667,83.667,41.000,18.000,0.249,6.367,8.037,12.642,86.467,5.367,6.033,7.000,0.000,7.000,5.250,0.000,0.000,0.036,0.333,0.000,0.667,5.333,0.000
Jalen,Hurts,14.500,22.250,180.000,8.750,173.000,86.250,93.750,0.224,8.075,8.513,12.414,101.300,6.475,6.828,40.750,4.000,32.000,3.750,8.750,1.000,0.045,1.000,0.250,2.500,19.750,0.500
Jameis,Winston,27.333,43.667,370.333,16.333,392.667,219.000,151.333,0.228,8.433,7.840,13.549,90.267,7.761,7.326,15.333,2.667,13.333,3.800,2.000,0.333,0.046,2.000,1.333,2.333,13.333,0.333
Jared,Goff,23.667,33.000,300.667,15.667,206.333,120.333,180.333,0.230,9.400,10.707,12.704,117.300,8.515,9.681,2.667,0.667,2.000,0.500,0.667,0.000,0.061,2.000,0.000,1.330,8.333,0.333
Jayden,Daniels,24.000,33.333,224.000,11.000,206.667,94.333,129.667,0.173,6.700,6.160,9.333,93.000,5.817,5.267,32.333,1.667,28.667,4.333,3.667,0.667,0.060,2.000,1.333,3.000,12.667,0.333
Joe,Burrow,30.000,48.000,364.333,17.000,408.667,208.667,155.667,0.311,7.600,8.640,12.144,106.467,6.786,7.792,14.333,0.667,5.000,2.500,6.667,0.000,0.069,3.333,0.333,3.333,16.000,1.333
Joe,Flacco,21.333,33.333,213.333,11.333,272.000,136.333,77.000,0.228,6.467,4.953,10.000,73.667,5.495,4.140,0.000,0.000,-0.333,-0.167,0.333,0.000,0.040,1.333,1.667,2.333,17.333,0.667
Jordan,Love,15.667,22.667,232.667,10.000,207.333,96.333,136.333,0.176,10.767,11.307,14.851,116.633,9.718,10.494,6.667,0.667,6.667,2.900,1.667,0.333,0.074,1.667,0.333,1.000,2.667,0.000
Josh,Allen,21.750,33.250,231.250,11.500,196.750,96.000,135.250,0.155,7.225,7.135,10.632,95.250,6.772,6.331,32.500,3.250,19.500,2.900,13.000,0.750,0.045,1.500,1.000,0.750,1.000,0.000
Justin,Herbert,18.000,31.667,220.667,9.333,333.333,151.333,69.333,0.239,6.933,7.270,12.259,85.633,5.755,6.132,31.667,2.333,30.667,6.633,1.000,0.333,0.021,0.667,0.000,3.667,17.333,0.667
Justin,Fields,17.000,28.333,196.000,7.667,252.333,106.000,90.000,0.263,6.700,7.337,11.529,91.067,5.337,5.969,47.000,3.333,35.000,3.867,12.000,1.333,0.035,1.000,0.000,3.333,27.000,1.333
Kirk,Cousins,21.667,34.667,241.333,11.000,306.667,139.333,102.000,0.207,6.933,4.427,11.138,61.333,6.063,3.631,1.000,0.333,0.667,0.667,0.333,0.000,0.000,0.000,2.000,2.333,17.000,1.333
Kyler,Murray,25.667,35.333,270.333,14.333,227.667,129.000,141.333,0.135,8.200,7.543,10.532,92.067,6.726,5.885,26.000,1.667,21.333,4.467,4.667,0.667,0.019,0.667,1.000,2.333,17.000,0.667
Lamar,Jackson,18.333,30.333,207.000,8.667,300.000,116.333,90.667,0.235,6.967,7.690,11.291,97.967,6.062,6.630,46.667,2.667,33.333,6.000,13.333,0.333,0.055,1.667,0.333,2.000,11.000,0.667
Mac,Jones,17.000,27.667,161.333,8.000,270.333,72.333,89.000,0.122,5.700,4.250,9.490,66.767,5.184,4.092,7.000,1.000,5.667,5.667,1.333,0.333,0.024,0.667,1.000,1.333,11.000,0.333
Malik,Willis,12.500,16.500,162.000,6.000,107.500,60.500,101.500,0.092,9.650,10.910,12.960,123.850,8.667,9.778,57.000,2.500,46.000,7.700,11.000,0.500,0.061,1.000,0.000,1.500,6.000,0.000
Marcus,Mariota,18.000,23.000,205.000,12.000,241.000,155.000,50.000,0.115,8.900,10.650,11.389,132.800,8.375,10.042,34.000,3.000,29.000,2.600,5.000,0.000,0.087,2.000,0.000,1.000,4.000,0.000
Mason,Rudolph,22.333,37.000,240.333,12.667,289.667,150.000,90.333,0.248,6.567,5.677,10.761,77.100,5.957,5.095,20.333,2.000,17.667,4.233,2.667,0.333,0.036,1.333,1.333,1.667,10.000,1.333
Matthew,Stafford,18.667,29.000,240.333,11.667,240.333,136.667,103.667,0.214,8.433,10.347,12.875,119.067,7.011,8.713,6.000,1.333,5.000,5.000,1.000,0.000,0.092,2.667,0.000,2.333,20.667,0.333
Patrick,Mahomes,25.333,38.667,257.000,14.667,281.000,129.667,127.333,0.347,6.633,7.003,10.145,98.100,5.258,5.648,21.333,1.000,20.000,6.450,1.333,0.000,0.060,2.333,0.667,4.000,32.667,0.667
Russell,Wilson,24.333,34.000,296.333,12.333,230.333,137.333,159.000,0.331,8.733,8.697,12.178,103.533,7.491,7.401,4.667,1.000,9.667,2.333,0.333,0.000,0.039,1.333,0.667,3.333,16.667,0.333
Sam,Darnold,21.000,32.333,270.333,12.333,267.667,152.000,118.333,0.239,8.333,9.563,12.873,111.567,7.056,8.178,13.000,2.000,9.333,1.767,3.667,0.333,0.062,2.000,0.000,3.333,18.667,0.333
Spencer,Rattler,19.667,33.000,190.333,7.667,236.333,96.333,94.000,0.194,5.833,5.247,9.678,71.200,4.407,3.787,20.333,1.000,5.667,1.333,14.667,0.000,0.010,0.333,0.667,4.667,24.333,1.000
Trevor,Lawrence,17.333,27.667,223.333,10.667,236.000,136.000,87.333,0.116,8.267,7.557,12.885,89.033,7.523,6.651,10.333,2.000,6.667,2.567,3.667,1.000,0.036,1.000,1.000,1.000,7.667,0.333
Tua,Tagovailoa,31.333,40.667,323.333,19.000,239.000,166.000,157.333,0.124,7.933,9.467,10.319,123.633,6.985,8.359,1.333,0.000,1.333,0.767,0.000,0.000,0.074,3.000,0.000,3.000,18.333,0.333
Will,Levis,17.667,30.667,261.667,8.333,305.000,147.667,114.000,0.299,8.933,8.967,14.811,97.500,6.617,6.710,8.333,1.667,7.333,0.633,1.000,0.000,0.054,1.667,0.667,5.000,25.667,0.667
Tommy,DeVito,21.000,31.000,189.000,11.000,201.000,103.000,86.000,0.205,6.100,6.100,9.000,83.900,4.743,4.743,32.000,1.000,28.000,4.000,4.000,0.000,0.000,0.000,0.000,4.000,23.000,0.000
Drew,Lock,21.000,32.000,178.000,8.000,180.000,84.000,94.000,0.317,5.600,4.160,8.476,66.900,3.447,2.263,57.000,3.000,29.000,7.300,28.000,1.000,0.000,0.000,1.000,6.000,47.000,1.000
